Date : 2026-08-06 12:55:40
Directory : /Users/omarragab/Projects/zalameh_dashboard_app
Total : 129 files,  25849 codes, 792 comments, 1921 blanks, all 28562 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/PaymentMethodsCard.tsx   | TypeScript JSX     |         47 |          0 |          3 |         50 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/SaveActionBar.tsx        | TypeScript JSX     |         62 |          0 |          8 |         70 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/SectionCard.tsx          | TypeScript JSX     |         28 |          0 |          3 |         31 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/ToggleSwitch.tsx         | TypeScript JSX     |         23 |          0 |          3 |         26 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/WorkingHoursCard.tsx     | TypeScript JSX     |        108 |          0 |          8 |        116 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/constants.ts             | TypeScript         |         30 |          0 |          5 |         35 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/useBrandExtraInfoForm.ts | TypeScript         |        115 |          0 |         15 |        130 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/api/brandApiService.ts                    | TypeScript         |        264 |          1 |         45 |        310 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/api/packageApiService.ts                  | TypeScript         |         74 |          2 |          8 |         84 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/api/partnerApiService.ts                  | TypeScript         |        358 |          0 |         55 |        413 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/mockBrandDetailsData.ts                   | TypeScript         |        425 |          0 |          6 |        431 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/mockPartners.ts                           | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/repositories/partnerRepositoryImpl.ts     | TypeScript         |         77 |          0 |         12 |         89 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/domain/entities/partner.entity.ts              | TypeScript         |        264 |          0 |         31 |        295 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/domain/repositories/partner.repository.ts      | TypeScript         |         48 |          0 |          9 |         57 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/pages/PartnersPage.tsx                         | TypeScript JSX     |        782 |         41 |         77 |        900 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/presentation/hooks/usePartners.ts              | TypeScript         |        174 |          4 |         25 |        203 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/types/partner.types.ts                         | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/ChangePasswordForm.tsx               | TypeScript JSX     |         97 |          4 |         12 |        113 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/PersonalInfoForm.tsx                 | TypeScript JSX     |        112 |          7 |         14 |        133 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/ProfileHeroCard.tsx                  | TypeScript JSX     |         49 |          2 |          5 |         56 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/pages/ProfilePage.tsx                           | TypeScript JSX     |         13 |          3 |          4 |         20 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/settings/pages/SettingsPage.tsx                         | TypeScript JSX     |        107 |          4 |          5 |        116 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/index.css                                                        | CSS                |          6 |          0 |          2 |          8 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/main.tsx                                                         | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/omarragab/Projects/zalameh_dashboard_app/tests/categories.integration.test.mjs                                | JavaScript         |        703 |          0 |         77 |        780 |
| /Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.app.json                                                    | JSON               |         24 |          0 |          3 |         27 |
| /Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.json                                                        | JSON with Comments |          7 |          0 |          1 |          8 |
| /Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.node.json                                                   | JSON               |         21 |          0 |          3 |         24 |
| /Users/omarragab/Projects/zalameh_dashboard_app/vercel.json                                                          | JSON               |         16 |          0 |          1 |         17 |
| /Users/omarragab/Projects/zalameh_dashboard_app/vite.config.ts                                                       | TypeScript         |         15 |          1 |          3 |         19 |
| Total                                                                                                                |                    |     25,849 |        792 |      1,921 |     28,562 |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
